name,location,distance_km,area_sqkm,avg_AQI,pm2_5,pm10,co,no2,traffic_raw,industrial_count,vehicular_pct,industrial_pct
Air India Colony,IGI Airport,5.492490656395571,0.16273604034696162,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,166.0,1,28.424657534246577,10.0
Anand Niketan,IGI Airport,6.769339940982713,0.2237388132792144,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,282.0,1,48.28767123287671,10.0
Aradhna Enclave,Connaught Place,7.195915043137699,0.0354038074522193,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,263.0,1,45.034246575342465,10.0
Arakpur Bagh,Connaught Place,6.76396533873558,0.0352076913067716,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,237.0,1,40.582191780821915,10.0
B-5,IGI Airport,7.174200882783862,0.04466579291041604,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,83.0,1,14.212328767123289,10.0
Bapa Nagar,Connaught Place,3.221494832076523,0.08606255976336637,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,504.0,2,86.3013698630137,20.0
Basant Gaon,IGI Airport,5.943468276798288,0.08355249530318555,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,216.0,1,36.986301369863014,10.0
Ber Sarai,IGI Airport,8.018774812415733,0.045912620512692265,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,183.0,1,31.335616438356162,10.0
Bhikaji Cama Place,Connaught Place,7.522234019125958,0.13662260066392085,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,327.0,1,55.9931506849315,10.0
Brahmapuri,IGI Airport,5.499666217907541,0.020257584961756964,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,108.0,1,18.493150684931507,10.0
Budh Nagar,Connaught Place,7.207773337901738,0.2704368182429345,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,119.0,2,20.376712328767123,20.0
Central Ridge Reserve Forest,Connaught Place,3.9686535771160094,10.289372558898842,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,544.0,2,93.15068493150685,20.0
East Sagarpur,IGI Airport,4.969809925789281,0.07383551652955958,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,100.0,1,17.123287671232877,10.0
Government Quarters,IGI Airport,6.082240998881289,0.14964968484667668,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,185.0,1,31.67808219178082,10.0
Green Park,Okhla Phase III,6.572910421913456,0.3488588574908054,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,387.0,1,66.26712328767124,10.0
Green Park Extension,Okhla Phase III,6.762166706285139,0.23471584744013654,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,390.0,1,66.78082191780823,10.0
Harijan Basti,IGI Airport,6.457063500237994,0.022970545843070293,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,85.0,1,14.554794520547945,10.0
Humayunpur,Okhla Phase III,7.616731926714829,0.07299755969471207,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,303.0,1,51.88356164383562,10.0
IARI Colony,Connaught Place,6.989382680122976,0.07179601452622267,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,108.0,3,18.493150684931507,30.0
Inderpuri,Connaught Place,6.880341279195958,0.33870363979633555,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,112.0,2,19.17808219178082,20.0
Inderpuri Extn,Connaught Place,6.866786709306968,0.03966572721001247,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,98.0,2,16.78082191780822,20.0
Institutional Area,IGI Airport,4.9777546271686095,0.3338009481390321,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,144.0,1,24.65753424657534,10.0
Jahanuma,Connaught Place,1.4848293044085643,0.019161779402389188,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,268.0,1,45.89041095890411,10.0
Kaka Nagar,Connaught Place,3.64011191232329,0.1998305868245935,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,499.0,2,85.44520547945206,20.0
Kamla Park,IGI Airport,4.529127917894584,0.04309032089694769,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,139.0,1,23.8013698630137,10.0
Khajan Basti,IGI Airport,6.664237631517914,0.056477401962589394,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,124.0,2,21.232876712328768,20.0
Kidwai Nagar West,Connaught Place,6.650921303849606,0.27932646992384425,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,337.0,1,57.705479452054796,10.0
Krishi Kunj,Connaught Place,7.205596562504534,0.0915783853496749,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,126.0,5,21.575342465753426,50.0
Krishna Nagar,Connaught Place,7.775769953554272,0.05818159834544499,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,303.0,1,51.88356164383562,10.0
Lajwanti Garden,Dwarka,6.285839382506082,0.07067275966975167,380.2753424657534,98.7700799086758,401.75230593607307,806.033105022831,37.02350456621005,145.0,1,24.82876712328767,10.0
Laxmi Bai Nagar,Connaught Place,6.003024484437211,0.5311143307995023,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,431.0,1,73.8013698630137,10.0
Lodhi Estate,Connaught Place,4.020702617365001,0.4224023608699885,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,520.0,1,89.04109589041096,10.0
Mansarovar Garden,Rohini,7.3429727989586535,0.6014975593628838,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,250.0,6,42.80821917808219,60.0
Masoodpur,IGI Airport,6.196354586003704,0.06539021741794528,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,85.0,1,14.554794520547945,10.0
Masoodpur Dairy,IGI Airport,5.853652258676339,0.07938954109300367,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,89.0,1,15.23972602739726,10.0
Mayapuri Industrial Area 1,IGI Airport,8.503037212232348,0.645047768400256,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,195.0,2,33.39041095890411,20.0
Mohan Nagar,IGI Airport,5.5658575363771625,0.03737813423337914,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,137.0,1,23.458904109589042,10.0
Nangal Dewat,IGI Airport,5.113446477448872,0.25569893858458154,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,85.0,1,14.554794520547945,10.0
Nangal Raya,IGI Airport,6.036134994870838,0.30757735193929947,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,127.0,1,21.746575342465754,10.0
Nangal Raya Extn I,Dwarka,5.786972447325907,0.008864974164962097,380.2753424657534,98.7700799086758,401.75230593607307,806.033105022831,37.02350456621005,129.0,1,22.089041095890412,10.0
